,Platform,Type,Firm,Release,Units Sold (in Millions)
0,PlayStation 2,Home,Sony,2000,155.0
1,Nintendo DS family,Handheld,Nintendo,2004,154.02
2,Game Boy,Handheld,Nintendo,"1989, 1998",118.69
3,PlayStation 4,Home,Sony,2013,116.6
4,PlayStation (console),Home,Sony,1994,102.49
5,Wii,Home,Nintendo,2006,101.63
6,Nintendo Switch,Hybrid,Nintendo,2017,92.87
7,PlayStation 3,Home,Sony,2006,87.4
8,Xbox 360,Home,Microsoft,2005,84.0
9,Game Boy Advance family,Handheld,Nintendo,2001,81.51
10,PlayStation Portable,Handheld,Sony,2004,80.0
11,Nintendo 3DS family,Handheld,Nintendo,2011,75.94
12,Nintendo Entertainment System,Home,Nintendo,1983,61.91
13,Xbox One,Home,Microsoft,2013,51.0
14,Super Nintendo Entertainment System,Home,Nintendo,1990,49.1
15,Game & Watch,Handheld,Nintendo,1980,43.4
16,Nintendo 64,Home,Nintendo,1996,32.93
17,Sega Genesis/Mega Drive,Home,Sega,1988,30.75
18,Atari 2600,Home,Atari,1977,30.0
19,Xbox (console),Home,Microsoft,2001,24.0
20,GameCube,Home,Nintendo,2001,21.74
21,Wii U,Home,Nintendo,2012,13.56
22,PlayStation 5,Home,Sony,2020,13.4
23,Xbox Series X and Series S,Home,Microsoft,2020,12.0
24,Sega Game Gear,Handheld,Sega,1990,10.62
25,PlayStation Vita,Handheld,Sony,2011,10.0
26,Sega Master System,Home,Sega,1986,10.0
27,PC Engine/TurboGrafx-16,Home,NEC,1987,10.0
28,Sega Saturn,Home,Sega,1994,9.26
29,Dreamcast,Home,Sega,1998,9.13
30,Master System,Home,Tectoy,1989,8.0
31,Dendy (console),Home,Micro Genius,1992,6.0
32,Super NES Classic Edition,Dedicated,Nintendo,2017,5.28
33,Famicom Disk System,Home console add-on,Nintendo,1986,4.5
34,Sega Pico,Home,Sega,1993,3.4
35,WonderSwan,Handheld,Bandai,1999,3.5
36,Color TV-Game,Dedicated,Nintendo,1977,3.0
37,Intellivision,Home,Mattel,1980,3.0
38,Mega Drive,Home,Tectoy,1990,3.0
39,N-Gage (device),Handheld,Nokia,2003,3.0
40,Sega CD,Home console add-on,Sega,1991,2.77
41,NES Classic Edition,Dedicated,Nintendo,2016,2.3
42,ColecoVision,Home,Coleco,1982,2.0
43,Magnavox Odyssey²,Home,Magnavox,1978,2.0
44,PC Engine CD-ROM²,Home console add-on,NEC,1988,1.92
45,Atari Lynx,Home,Atari,1989,1.0
46,Philips CD-i,Home,Philips,1990,1.0
47,Telstar (game console),Dedicated,Coleco,1976,1.0
48,Atari 5200,Home,Atari,1982,1.0
49,Atari 7800,Home,Atari,1986,1.0
